銘柄情報,銘柄名,銘柄コード,国名コード,種別,取引値
取引日,単価,購入数,売却数,手数料,配当･分配,税,コメント
2013/12/30,4330.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,3526.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,3910.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,キヤノン,7751,JP,株式(現物),3675.0000,http://web.canon.jp/ir/
2011/12/30,3410.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,3340.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,3330.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,3840.5000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,3675.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,三井物産,8031,JP,株式(現物),1445.5000,http://www.mitsui.com/jp/ja/ir/index.html
2011/12/30,1197.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,1283.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,1465.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,1621.5000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,1445.5000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,三菱商事,8058,JP,株式(現物),2028.0000,http://www.mitsubishicorp.com/jp/ja/ir/
2011/12/30,1555.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,1647.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,2017.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,2217.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,2028.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,三菱UFJフィナンシャル・グループ,8306,JP,株式(現物),757.1000,http://www.mufg.jp/ir/
2011/12/30,327.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,461.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,694.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,664.5000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,757.1000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,三井住友フィナンシャルグループ,8316,JP,株式(現物),4606.0000,http://www.smfg.co.jp/investor/
2011/12/30,2144.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,3115.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,5420.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,4375.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,4606.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,みずほフィナンシャルグループ,8411,JP,株式(現物),243.5000,http://www.mizuho-fg.co.jp/investors/index.html
2011/12/30,104.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,157.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,228.0000,0.0000,0.0000,0.00,0.00,0.00,
