Item,Name,Code,Country,Type,Price
Date,Price,Bought,Sold,Charge,Dividend,Tax,Comment
DEFINE,Thai baht,THBUSD,US,Currency,0.0278,http://
2011/12/30,0.0317,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0327,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0306,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0304,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0278,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,Taiwan dollar,TWDUSD,US,Currency,0.0304,http://
2011/12/30,0.0330,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.0344,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0335,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0316,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0304,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,South African Rand,ZARUSD,US,Currency,0.0643,http://
2011/12/30,0.1236,0.0000,0.0000,0.00,0.00,0.00,
2012/12/31,0.1182,0.0000,0.0000,0.00,0.00,0.00,
2013/12/31,0.0953,0.0000,0.0000,0.00,0.00,0.00,
2014/12/31,0.0865,0.0000,0.0000,0.00,0.00,0.00,
2015/12/31,0.0643,0.0000,0.0000,0.00,0.00,0.00,
